timestamp;gyro_x;gyro_y;gyro_z;gyro_temp;Ref V1;Ref V2;Ref V3;Ref V4;Ref V5;Ref Valid;Ref V_r;Ref lambda_r;SunS temperature_a;SunS temperature_b;SunS temperature_c;SunS temperature_d;SunS temperature_structure;ALS VL 1A;ALS VL 1B;ALS VL 1C;ALS VL 1D;ALS VL 2A;ALS VL 2B;ALS VL 2C;ALS VL 2D;ALS VL 3A;ALS VL 3B;ALS VL 3C;ALS VL 3D
1630553.85;-2.22608695652;-3.75652173913;1.46086956522;-4.74642857143;3539.1328125;3487.01196289;3521.33544922;3498.453125;3569.64257812;True;0;0;5.24934383202;5.24934383202;5.24934383202;3.92927308448;4.32015625;9281;1599;1679;8392;9372;1569;1586;8186;9484;1574;1648;8049
1630555.8;-2.22608695652;-3.61739130435;1.46086956522;-4.98571428571;3539.1328125;3487.01196289;3521.33544922;3499.72436523;3569.64257812;True;0;0;6.57462195924;5.24934383202;5.24934383202;5.24934383202;4.32015625;9246;1592;1668;8378;9333;1563;1575;8185;9430;1567;1637;8037
1630557.8;-2.22608695652;-3.61739130435;1.46086956522;-4.99642857143;3539.1328125;3487.01196289;3521.33544922;3499.72436523;3569.64257812;True;0;0;6.57462195924;5.24934383202;5.24934383202;5.24934383202;4.32015625;9203;1585;1656;8356;9283;1557;1564;8174;9373;1561;1625;8014
1630562.2;-2.22608695652;-3.61739130435;1.46086956522;-4.81428571429;3539.1328125;3487.01196289;3520.06420898;3499.72436523;3569.64257812;True;0;0;6.57462195924;5.24934383202;5.24934383202;5.24934383202;4.32015625;9092;1570;1626;8321;9172;1545;1541;8139;9259;1547;1600;7958
1630564.15;-2.22608695652;-3.61739130435;1.46086956522;-4.77857142857;3539.1328125;3487.01196289;3520.06420898;3499.72436523;3569.64257812;True;0;0;6.57462195924;5.24934383202;5.24934383202;5.24934383202;4.5115625;9045;1563;1613;8309;9126;1540;1530;8114;9204;1541;1588;7940
1630566.15;-2.22608695652;-3.61739130435;1.53043478261;-4.8;3539.1328125;3487.01196289;3520.06420898;3499.72436523;3569.64257812;True;0;0;6.57462195924;5.24934383202;5.24934383202;5.24934383202;4.5115625;8997;1556;1601;8294;9076;1534;1519;8079;9139;1535;1576;7924
1630568.75;-2.22608695652;-3.54782608696;1.46086956522;-4.98928571429;3539.1328125;3487.01196289;3520.06420898;3499.72436523;3569.64257812;True;0;0;6.57462195924;5.24934383202;5.24934383202;5.24934383202;4.5115625;8932;1548;1586;8267;8998;1527;1506;8023;9049;1527;1561;7899
1630570.7;-2.22608695652;-3.61739130435;1.46086956522;-4.91428571429;3539.1328125;3485.74072266;3520.06420898;3499.72436523;3569.64257812;True;0;0;6.57462195924;5.24934383202;5.24934383202;5.24934383202;4.5115625;8881;1543;1576;8243;8935;1522;1497;7976;8982;1522;1551;7877
1630572.7;-2.22608695652;-3.61739130435;1.46086956522;-4.99285714286;3539.1328125;3485.74072266;3518.79296875;3498.453125;3569.64257812;True;0;0;6.57462195924;5.24934383202;5.24934383202;5.24934383202;4.5115625;8825;1539;1566;8211;8868;1517;1489;7918;8913;1516;1541;7853
1630575.9;-2.22608695652;-3.68695652174;1.46086956522;-4.81071428571;3537.86157227;3484.46948242;3518.79296875;3498.453125;3569.64257812;True;0;0;6.57462195924;5.24934383202;5.24934383202;5.24934383202;4.5115625;8729;1535;1550;8147;8767;1511;1475;7822;8798;1509;1525;7818
1630577.85;-2.22608695652;-3.68695652174;1.46086956522;-4.675;3537.86157227;3484.46948242;3517.52172852;3498.453125;3569.64257812;True;0;0;6.57462195924;5.24934383202;5.24934383202;5.24934383202;4.5115625;8666;1533;1541;8103;8703;1507;1465;7782;8730;1505;1515;7795
