timestamp;gyro_x;gyro_y;gyro_z;gyro_temp;Ref V1;Ref V2;Ref V3;Ref V4;Ref V5;Ref Valid;Ref V_r;Ref lambda_r;SunS temperature_a;SunS temperature_b;SunS temperature_c;SunS temperature_d;SunS temperature_structure;ALS VL 1A;ALS VL 1B;ALS VL 1C;ALS VL 1D;ALS VL 2A;ALS VL 2B;ALS VL 2C;ALS VL 2D;ALS VL 3A;ALS VL 3B;ALS VL 3C;ALS VL 3D
365121.075;-2.15652173913;-3.26956521739;1.18260869565;-5.30357142857;2822.15332031;2450.95117188;2356.87939453;2855.20556641;3537.86157227;True;0;0;24.1674045496;24.1674045496;24.1674045496;21.9689986772;22.31234375;12240;17573;11141;7258;11774;17307;10649;7385;12710;17744;11086;7596
365127.125;-2.15652173913;-3.33913043478;1.11304347826;-5.30714285714;2856.47680664;2452.22241211;2381.03295898;2876.81665039;3537.86157227;True;0;0;24.1674045496;24.1674045496;24.1674045496;21.9689986772;22.50375;11525;17111;10735;6705;11154;17045;10385;6734;12006;17336;10727;7031
365131.925;-2.22608695652;-3.26956521739;1.18260869565;-5.35;2885.71533203;2453.49365234;2402.64404297;2894.61401367;3537.86157227;True;0;0;24.1674045496;24.1674045496;24.1674045496;21.9689986772;22.69515625;10926;16746;10465;6338;10607;16739;10050;6134;11477;17083;10459;6462
365136.775;-2.22608695652;-3.33913043478;1.04347826087;-5.21428571429;2914.95385742;2456.03613281;2425.52636719;2914.95385742;3537.86157227;True;0;0;24.1674045496;24.1674045496;24.1674045496;21.9689986772;22.69515625;10305;16605;10052;5742;10083;16506;9709;5725;10904;16749;10170;5877
365142.175;-2.15652173913;-3.26956521739;1.11304347826;-5.24285714286;2949.27734375;2462.39233398;2453.49365234;2937.83618164;3537.86157227;True;0;0;24.1674045496;24.1674045496;24.1674045496;21.9689986772;22.69515625;9612;16254;9685;4999;9477;16223;9359;5166;10055;16342;9750;5427
365146.975;-2.15652173913;-3.26956521739;1.11304347826;-5.13571428571;2978.51586914;2468.74853516;2478.91845703;2958.17602539;3537.86157227;True;0;0;24.1674045496;25.2733648809;24.1674045496;21.9689986772;22.8865625;8986;15850;9387;4624;8792;15887;9011;4780;9217;15903;9365;5018
365151.775;-2.22608695652;-3.26956521739;1.11304347826;-5.06785714286;3009.02563477;2477.6472168;2508.15698242;2981.05834961;3537.86157227;True;0;0;24.1674045496;25.2733648809;24.1674045496;21.9689986772;22.8865625;8307;15380;9009;4117;8109;15451;8656;4199;8380;15470;8906;4443
365157.825;-2.08695652174;-3.26956521739;1.04347826087;-5.075;3043.34912109;2484.00341797;2539.93798828;3007.75439453;3537.86157227;True;0;0;24.1674045496;24.1674045496;24.1674045496;21.9689986772;22.8865625;7437;14939;8594;3537;7335;14829;8221;3497;7523;14955;8423;3958
365162.625;-2.22608695652;-3.33913043478;1.04347826087;-5.11785714286;3072.58764648;2489.08837891;2566.6340332;3029.36547852;3537.86157227;True;0;0;24.1674045496;24.1674045496;24.1674045496;21.9689986772;22.8865625;6790;14492;8178;3289;6733;14402;7898;3324;6966;14530;8074;3412
365167.475;-2.22608695652;-3.33913043478;1.04347826087;-4.97857142857;3105.63989258;2504.34326172;2602.22875977;3057.33276367;3537.86157227;True;0;0;24.1674045496;25.2733648809;24.1674045496;21.9689986772;22.8865625;6149;14104;7799;3168;6066;14023;7572;3206;6370;14008;7733;3271
365172.875;-2.15652173913;-3.33913043478;1.11304347826;-4.86785714286;3145.04833984;2567.90527344;2678.50317383;3094.19873047;3537.86157227;True;0;0;24.1674045496;24.1674045496;24.1674045496;21.9689986772;22.8865625;5491;13587;7429;3037;5377;13461;7254;3067;5541;13445;7346;3108
365177.675;-2.29565217391;-3.33913043478;1.11304347826;-4.66785714286;3174.28686523;2600.95751953;2725.5390625;3122.16601562;3539.1328125;True;0;0;24.1674045496;24.1674045496;24.1674045496;21.9689986772;22.8865625;4895;13125;7076;2903;4796;12866;6923;2930;4963;12709;7017;2976
