timestamp;gyro_x;gyro_y;gyro_z;gyro_temp;SADS temperature;Phd Xn;Phd Xp;Phd Yn;Phd Yp
2296617.95;-2.78260869565;-3.68695652174;1.6;-4.53928571429;0.977995110024;705;88;88;89
2296619.05;-2.71304347826;-3.61739130435;1.66956521739;-4.625;0.977995110024;704;89;89;90
2296620.15;-2.71304347826;-3.68695652174;1.73913043478;-4.47857142857;1.30463144162;703;89;89;89
2296621.25;-2.71304347826;-3.68695652174;1.6;-4.59642857143;1.30463144162;702;89;89;90
2296648.175;-2.64347826087;-3.68695652174;1.66956521739;-4.47142857143;1.30463144162;701;89;89;90
2296649.275;-2.64347826087;-3.61739130435;1.66956521739;-4.49642857143;1.63158753467;699;89;89;90
2296650.375;-2.71304347826;-3.61739130435;1.53043478261;-4.44642857143;1.63158753467;697;89;89;90
2296652.075;-2.71304347826;-3.54782608696;1.6;-4.49642857143;1.95886385896;692;89;89;90
2296653.175;-2.64347826087;-3.61739130435;1.73913043478;-4.47857142857;1.95886385896;691;89;89;90
2296654.325;-2.71304347826;-3.54782608696;1.6;-4.43214285714;2.28646088519;690;90;89;91
2296655.425;-2.64347826087;-3.61739130435;1.53043478261;-4.39285714286;2.28646088519;688;90;90;91
2296656.525;-2.64347826087;-3.54782608696;1.66956521739;-4.45;2.28646088519;686;90;90;91
2296657.625;-2.64347826087;-3.61739130435;1.66956521739;-4.24642857143;2.61437908497;682;90;90;91
2296658.725;-2.64347826087;-3.54782608696;1.6;-4.35357142857;2.61437908497;679;90;90;91
2296660.975;-2.57391304348;-3.54782608696;1.6;-4.21785714286;2.94261893085;673;91;90;91
2296662.075;-2.57391304348;-3.54782608696;1.66956521739;-4.23214285714;2.94261893085;671;90;90;92
2296663.175;-2.64347826087;-3.54782608696;1.66956521739;-4.21785714286;2.94261893085;668;91;91;92
2296664.275;-2.64347826087;-3.61739130435;1.6;-4.06785714286;3.2711808963;665;91;91;92
2296665.375;-2.64347826087;-3.68695652174;1.6;-3.90714285714;3.2711808963;661;91;91;92
2296666.475;-2.64347826087;-3.68695652174;1.66956521739;-4.09285714286;3.60006545574;658;91;91;92
2296668.325;-2.57391304348;-3.68695652174;1.6;-3.84642857143;3.60006545574;655;91;91;92
2296669.275;-2.57391304348;-3.68695652174;1.66956521739;-3.825;3.60006545574;650;91;91;93
2296670.375;-2.64347826087;-3.61739130435;1.66956521739;-3.96071428571;3.92927308448;647;92;91;92
2296671.475;-2.64347826087;-3.68695652174;1.6;-4.07142857143;3.92927308448;645;91;92;92
2296672.575;-2.64347826087;-3.61739130435;1.6;-3.71428571429;4.2588042588;640;92;92;92
2296673.675;-2.71304347826;-3.61739130435;1.66956521739;-3.66071428571;4.2588042588;636;91;92;92
2296674.725;-2.64347826087;-3.61739130435;1.66956521739;-3.66428571429;4.2588042588;631;92;92;92
2296676.625;-2.64347826087;-3.68695652174;1.66956521739;-3.76785714286;4.2588042588;628;91;92;92
2296677.575;-2.64347826087;-3.61739130435;1.66956521739;-3.57857142857;4.58865945592;620;92;92;92
2296678.675;-2.64347826087;-3.61739130435;1.6;-3.58928571429;4.58865945592;614;92;92;92
2296679.775;-2.64347826087;-3.61739130435;1.66956521739;-3.58928571429;4.58865945592;610;92;92;92
2296680.825;-2.78260869565;-3.61739130435;1.66956521739;-3.59642857143;4.91883915396;605;92;92;92
2296681.925;-2.71304347826;-3.54782608696;1.66956521739;-3.63214285714;4.91883915396;600;92;92;92
2296683.025;-2.64347826087;-3.54782608696;1.66956521739;-3.53928571429;4.91883915396;595;92;92;93
2296684.125;-2.71304347826;-3.61739130435;1.73913043478;-3.50357142857;5.24934383202;589;92;92;93
2296685.225;-2.64347826087;-3.47826086957;1.6;-3.49642857143;5.24934383202;584;92;93;93
2296686.975;-2.64347826087;-3.47826086957;1.66956521739;-3.45357142857;5.58017397013;576;93;93;93
2296688.075;-2.64347826087;-3.54782608696;1.66956521739;-3.4;5.58017397013;571;93;93;93
2296689.225;-2.57391304348;-3.47826086957;1.66956521739;-3.39285714286;5.58017397013;566;93;93;93
2296690.275;-2.50434782609;-3.54782608696;1.6;-3.4;5.91133004926;561;93;93;93
2296691.375;-2.3652173913;-3.61739130435;1.66956521739;-3.32142857143;5.91133004926;558;93;93;93
2296692.475;-2.4347826087;-3.54782608696;1.66956521739;-3.34642857143;5.91133004926;554;93;94;94
2296693.575;-2.57391304348;-3.61739130435;1.66956521739;-3.02142857143;6.24281255134;551;93;94;94
2296695.325;-2.3652173913;-3.54782608696;1.6;-3.06785714286;6.24281255134;545;93;94;94
2296696.425;-2.4347826087;-3.61739130435;1.6;-2.87142857143;6.24281255134;542;94;95;94
2296697.475;-2.4347826087;-3.54782608696;1.73913043478;-3.025;6.57462195924;538;94;95;94
2296698.575;-2.4347826087;-3.54782608696;1.66956521739;-2.83214285714;6.57462195924;533;94;95;95
2296699.675;-2.50434782609;-3.61739130435;1.66956521739;-2.78214285714;6.57462195924;529;95;95;95
2296700.775;-2.4347826087;-3.54782608696;1.66956521739;-2.78928571429;6.90675875678;525;95;95;95
2296702.625;-2.50434782609;-3.61739130435;1.6;-2.77857142857;6.90675875678;520;95;95;95
2296703.575;-2.4347826087;-3.61739130435;1.6;-2.74642857143;6.90675875678;512;95;96;95
2296704.675;-2.50434782609;-3.61739130435;1.66956521739;-2.625;7.23922342876;507;95;96;96
2296705.775;-2.50434782609;-3.47826086957;1.66956521739;-2.68571428571;7.23922342876;501;95;96;96
2296706.875;-2.4347826087;-3.54782608696;1.66956521739;-2.65714285714;7.23922342876;496;96;96;96
2296707.975;-2.4347826087;-3.54782608696;1.66956521739;-2.67142857143;7.23922342876;492;96;97;96
2296709.075;-2.50434782609;-3.61739130435;1.66956521739;-2.55357142857;7.57201646091;485;96;97;96
2296710.925;-2.4347826087;-3.61739130435;1.66956521739;-2.6;7.57201646091;479;96;97;97
2296711.875;-2.4347826087;-3.47826086957;1.66956521739;-2.46785714286;7.57201646091;471;97;98;97
2296712.975;-2.50434782609;-3.54782608696;1.66956521739;-2.58571428571;7.57201646091;466;97;98;97
2296714.075;-2.4347826087;-3.54782608696;1.66956521739;-2.56071428571;7.90513833992;460;97;98;97
2296715.175;-2.4347826087;-3.54782608696;1.66956521739;-2.51071428571;7.90513833992;453;97;98;97
2296716.275;-2.50434782609;-3.54782608696;1.66956521739;-2.525;7.90513833992;447;98;98;97
2296717.375;-2.50434782609;-3.61739130435;1.73913043478;-2.43928571429;7.90513833992;441;98;99;98
2296718.475;-2.50434782609;-3.61739130435;1.6;-2.46071428571;7.90513833992;434;99;99;98
2296719.575;-2.50434782609;-3.54782608696;1.73913043478;-2.35357142857;7.90513833992;429;98;99;98
2296721.275;-2.50434782609;-3.61739130435;1.66956521739;-2.25;7.90513833992;419;99;100;98
2296722.375;-2.4347826087;-3.61739130435;1.73913043478;-2.10357142857;8.23858955347;413;99;100;99
2296723.475;-2.50434782609;-3.47826086957;1.66956521739;-2.16785714286;8.23858955347;407;99;100;99
2296724.575;-2.4347826087;-3.61739130435;1.73913043478;-1.85357142857;8.23858955347;401;100;100;99
2296725.675;-2.3652173913;-3.61739130435;1.73913043478;-1.74285714286;8.23858955347;395;100;101;99
2296726.775;-2.3652173913;-3.61739130435;1.66956521739;-1.74285714286;8.23858955347;391;100;101;100
2296727.875;-2.29565217391;-3.68695652174;1.66956521739;-1.80714285714;8.23858955347;386;101;101;100
2296729.575;-2.3652173913;-3.61739130435;1.66956521739;-1.76428571429;8.23858955347;379;101;102;100
2296730.675;-2.29565217391;-3.61739130435;1.66956521739;-1.76785714286;8.23858955347;375;102;102;100
2296731.775;-2.29565217391;-3.54782608696;1.66956521739;-1.68214285714;8.23858955347;371;102;103;101
2296732.875;-2.29565217391;-3.54782608696;1.73913043478;-1.75357142857;8.23858955347;366;102;103;101
2296733.975;-2.29565217391;-3.54782608696;1.73913043478;-1.69285714286;8.23858955347;362;102;103;101
2296735.075;-2.22608695652;-3.54782608696;1.73913043478;-1.79642857143;8.57237059017;358;103;103;102
2296737.875;-2.22608695652;-3.47826086957;1.73913043478;-1.73928571429;8.57237059017;354;104;103;103
2296738.325;-2.22608695652;-3.47826086957;1.66956521739;-1.68928571429;8.57237059017;347;104;105;103
