11:27:30 Sail experiment chunk 0
X: 7.17 	 Y: -0.56 	 Z: 5.08 */s 	 SAIL NOT OPEN 	 -2.5 *C

11:27:35 Sail experiment chunk 10
X: -11.76 	 Y: -4.73 	 Z: 1.67 */s 	 SAIL NOT OPEN 	 -2.5 *C
X: 2.09 	 Y: -0.28 	 Z: 1.74 */s 	 SAIL NOT OPEN 	 -2.2 *C
X: 4.17 	 Y: -1.18 	 Z: 2.57 */s 	 SAIL NOT OPEN 	 -2.2 *C
X: -7.79 	 Y: -5.22 	 Z: 0.70 */s 	 SAIL NOT OPEN 	 -2.2 *C
X: -9.53 	 Y: -4.87 	 Z: 1.32 */s 	 SAIL NOT OPEN 	 -2.2 *C
X: 0.77 	 Y: -0.90 	 Z: 3.13 */s 	 SAIL NOT OPEN 	 -2.2 *C
X: 2.78 	 Y: -1.18 	 Z: 1.81 */s 	 SAIL NOT OPEN 	 -2.2 *C
X: -6.40 	 Y: -4.31 	 Z: 0.63 */s 	 SAIL NOT OPEN 	 -2.2 *C
X: -7.72 	 Y: -4.10 	 Z: 1.53 */s 	 SAIL NOT OPEN 	 -2.2 *C

11:27:35 Sail experiment chunk 11
X: -1.53 	 Y: -2.50 	 Z: 1.60 */s 	 SAIL NOT OPEN 	 -2.0 *C
X: -6.89 	 Y: -5.01 	 Z: 0.77 */s 	 SAIL NOT OPEN 	 -2.0 *C
X: -5.01 	 Y: -4.17 	 Z: 2.23 */s 	 SAIL NOT OPEN 	 -2.0 *C
X: 0.35 	 Y: -0.97 	 Z: 2.64 */s 	 SAIL NOT OPEN 	 -2.0 *C
X: 0.00 	 Y: -1.04 	 Z: 2.85 */s 	 SAIL NOT OPEN 	 -2.0 *C
X: -5.22 	 Y: -5.29 	 Z: 1.32 */s 	 SAIL NOT OPEN 	 -2.0 *C
X: -3.83 	 Y: -4.52 	 Z: 1.39 */s 	 SAIL NOT OPEN 	 -2.0 *C
X: -1.25 	 Y: -2.78 	 Z: 3.41 */s 	 SAIL NOT OPEN 	 -1.7 *C
X: -1.53 	 Y: -1.95 	 Z: 2.37 */s 	 SAIL NOT OPEN 	 -1.7 *C

11:27:36 Sail experiment chunk 12
X: -4.03 	 Y: -2.92 	 Z: 1.74 */s 	 SAIL NOT OPEN 	 -1.7 *C
X: -2.85 	 Y: -2.99 	 Z: 2.78 */s 	 SAIL NOT OPEN 	 -1.7 *C
X: -1.32 	 Y: -3.41 	 Z: 2.23 */s 	 SAIL NOT OPEN 	 -1.7 *C
X: -1.67 	 Y: -3.06 	 Z: 2.43 */s 	 SAIL NOT OPEN 	 -1.7 *C
X: -3.27 	 Y: -2.09 	 Z: 3.06 */s 	 SAIL NOT OPEN 	 -1.7 *C
X: -4.66 	 Y: -2.50 	 Z: 3.34 */s 	 SAIL NOT OPEN 	 -1.7 *C
X: -1.95 	 Y: -3.69 	 Z: 1.53 */s 	 SAIL NOT OPEN 	 -1.7 *C
X: -0.77 	 Y: -3.62 	 Z: 1.88 */s 	 SAIL NOT OPEN 	 -1.7 *C
X: -1.95 	 Y: -3.27 	 Z: 2.16 */s 	 SAIL NOT OPEN 	 -1.7 *C

11:27:37 Sail experiment chunk 13
X: -2.92 	 Y: -2.64 	 Z: 1.88 */s 	 SAIL NOT OPEN 	 -1.7 *C
X: -0.70 	 Y: -4.03 	 Z: 2.30 */s 	 SAIL NOT OPEN 	 -1.7 *C
X: -0.70 	 Y: -3.97 	 Z: 2.09 */s 	 SAIL NOT OPEN 	 -1.7 *C
X: -3.34 	 Y: -2.30 	 Z: 2.71 */s 	 SAIL NOT OPEN 	 -1.7 *C
X: -3.69 	 Y: -2.16 	 Z: 2.30 */s 	 SAIL NOT OPEN 	 -1.7 *C
X: -2.50 	 Y: -2.37 	 Z: 1.88 */s 	 SAIL NOT OPEN 	 -1.7 *C
X: -1.04 	 Y: -4.03 	 Z: 3.13 */s 	 SAIL NOT OPEN 	 -1.5 *C
X: -0.90 	 Y: -3.76 	 Z: 2.92 */s 	 SAIL NOT OPEN 	 -1.5 *C
X: -2.71 	 Y: -2.99 	 Z: 2.09 */s 	 SAIL NOT OPEN 	 -1.5 *C

11:27:37 Sail experiment chunk 14
X: -2.02 	 Y: -2.85 	 Z: 2.71 */s 	 SAIL NOT OPEN 	 -1.5 *C
X: -1.11 	 Y: -3.20 	 Z: 2.99 */s 	 SAIL NOT OPEN 	 -1.5 *C
X: -0.97 	 Y: -3.20 	 Z: 2.57 */s 	 SAIL NOT OPEN 	 -1.5 *C
X: -2.71 	 Y: -4.03 	 Z: 2.43 */s 	 SAIL NOT OPEN 	 -1.5 *C
X: -2.92 	 Y: -3.83 	 Z: 2.09 */s 	 SAIL NOT OPEN 	 -1.5 *C
X: -2.78 	 Y: -2.99 	 Z: 2.71 */s 	 SAIL NOT OPEN 	 -1.5 *C
X: -1.88 	 Y: -2.16 	 Z: 2.92 */s 	 SAIL NOT OPEN 	 -1.2 *C
X: -1.74 	 Y: -2.02 	 Z: 2.50 */s 	 SAIL NOT OPEN 	 -1.2 *C
X: -1.60 	 Y: -3.90 	 Z: 2.71 */s 	 SAIL NOT OPEN 	 -1.2 *C

11:27:38 Sail experiment chunk 15
X: -2.37 	 Y: -3.34 	 Z: 3.06 */s 	 SAIL NOT OPEN 	 -1.2 *C
X: -2.71 	 Y: -2.92 	 Z: 2.78 */s 	 SAIL NOT OPEN 	 -1.2 *C
X: -2.64 	 Y: -2.78 	 Z: 3.06 */s 	 SAIL NOT OPEN 	 -1.2 *C
X: -2.02 	 Y: -2.99 	 Z: 2.71 */s 	 SAIL NOT OPEN 	 -1.0 *C
X: -1.32 	 Y: -3.27 	 Z: 2.85 */s 	 SAIL NOT OPEN 	 -1.0 *C
X: -1.18 	 Y: -3.34 	 Z: 2.92 */s 	 SAIL NOT OPEN 	 -1.0 *C
X: -1.81 	 Y: -3.90 	 Z: 2.43 */s 	 SAIL NOT OPEN 	 -1.0 *C
X: -2.23 	 Y: -4.03 	 Z: 2.99 */s 	 SAIL NOT OPEN 	 -1.0 *C
X: -2.50 	 Y: -3.83 	 Z: 2.92 */s 	 SAIL NOT OPEN 	 -1.0 *C

11:27:38 Sail experiment chunk 16
X: -1.46 	 Y: -2.99 	 Z: 3.06 */s 	 SAIL NOT OPEN 	 -1.0 *C
X: -1.39 	 Y: -3.76 	 Z: 2.99 */s 	 SAIL NOT OPEN 	 -0.7 *C
X: -1.60 	 Y: -3.97 	 Z: 2.85 */s 	 SAIL NOT OPEN 	 -0.7 *C
X: -1.88 	 Y: -4.10 	 Z: 2.99 */s 	 SAIL NOT OPEN 	 -0.7 *C
X: -2.57 	 Y: -3.90 	 Z: 3.13 */s 	 SAIL NOT OPEN 	 -0.7 *C
X: -2.57 	 Y: -3.90 	 Z: 2.99 */s 	 SAIL NOT OPEN 	 -0.7 *C
X: -2.43 	 Y: -3.55 	 Z: 3.20 */s 	 SAIL NOT OPEN 	 -0.7 *C
X: -2.16 	 Y: -3.13 	 Z: 3.13 */s 	 SAIL NOT OPEN 	 -0.7 *C
X: -2.09 	 Y: -3.13 	 Z: 2.92 */s 	 SAIL NOT OPEN 	 -0.7 *C

11:27:39 Sail experiment chunk 17
X: -1.60 	 Y: -4.17 	 Z: 3.06 */s 	 SAIL NOT OPEN 	 -0.5 *C
X: -1.67 	 Y: -4.10 	 Z: 2.99 */s 	 SAIL NOT OPEN 	 -0.5 *C
X: -2.30 	 Y: -4.03 	 Z: 3.20 */s 	 SAIL NOT OPEN 	 -0.5 *C
X: -2.57 	 Y: -3.83 	 Z: 3.55 */s 	 SAIL NOT OPEN 	 -0.5 *C
X: -2.64 	 Y: -3.76 	 Z: 3.41 */s 	 SAIL NOT OPEN 	 -0.5 *C
X: -2.64 	 Y: -3.76 	 Z: 3.34 */s 	 SAIL NOT OPEN 	 -0.5 *C
X: -2.16 	 Y: -3.76 	 Z: 3.20 */s 	 SAIL NOT OPEN 	 -0.5 *C
X: -1.74 	 Y: -3.83 	 Z: 3.06 */s 	 SAIL NOT OPEN 	 -0.2 *C
X: -1.74 	 Y: -3.76 	 Z: 2.99 */s 	 SAIL NOT OPEN 	 -0.2 *C

11:27:39 Sail experiment chunk 18
X: -2.64 	 Y: -4.45 	 Z: 3.55 */s 	 SAIL NOT OPEN 	 -0.2 *C
X: -2.57 	 Y: -4.31 	 Z: 3.55 */s 	 SAIL NOT OPEN 	 -0.2 *C
X: -2.57 	 Y: -4.24 	 Z: 3.48 */s 	 SAIL NOT OPEN 	 -0.2 *C
X: -2.64 	 Y: -4.24 	 Z: 3.48 */s 	 SAIL NOT OPEN 	 -0.2 *C
X: -2.43 	 Y: -3.97 	 Z: 3.20 */s 	 SAIL NOT OPEN 	 -0.2 *C
X: -2.16 	 Y: -3.76 	 Z: 3.20 */s 	 SAIL NOT OPEN 	 -0.2 *C
X: -2.23 	 Y: -3.83 	 Z: 3.13 */s 	 SAIL NOT OPEN 	 0.0 *C
X: -2.23 	 Y: -3.62 	 Z: 3.06 */s 	 SAIL NOT OPEN 	 0.0 *C
X: -2.16 	 Y: -3.83 	 Z: 3.20 */s 	 SAIL NOT OPEN 	 0.0 *C

11:27:40 Sail experiment chunk 19
X: -2.57 	 Y: -4.24 	 Z: 3.27 */s 	 SAIL NOT OPEN 	 0.0 *C
X: -2.64 	 Y: -4.03 	 Z: 3.20 */s 	 SAIL NOT OPEN 	 0.0 *C
X: -2.64 	 Y: -3.97 	 Z: 3.20 */s 	 SAIL NOT OPEN 	 0.3 *C
X: -2.78 	 Y: -3.97 	 Z: 3.20 */s 	 SAIL NOT OPEN 	 0.3 *C
X: -2.71 	 Y: -3.90 	 Z: 3.13 */s 	 SAIL NOT OPEN 	 0.3 *C
X: -2.78 	 Y: -3.90 	 Z: 2.99 */s 	 SAIL NOT OPEN 	 0.3 *C
X: -2.71 	 Y: -3.90 	 Z: 3.13 */s 	 SAIL NOT OPEN 	 0.3 *C
X: -2.57 	 Y: -4.66 	 Z: 3.06 */s 	 SAIL NOT OPEN 	 0.3 *C
X: -2.57 	 Y: -4.52 	 Z: 3.13 */s 	 SAIL NOT OPEN 	 0.3 *C

11:27:40 Sail experiment chunk 20
X: -2.71 	 Y: -4.52 	 Z: 3.06 */s 	 SAIL NOT OPEN 	 0.3 *C
X: -2.64 	 Y: -4.38 	 Z: 3.06 */s 	 SAIL NOT OPEN 	 0.7 *C
X: -2.64 	 Y: -4.10 	 Z: 3.06 */s 	 SAIL NOT OPEN 	 0.7 *C
X: -2.64 	 Y: -4.03 	 Z: 3.06 */s 	 SAIL OPEN 	 0.7 *C
X: -2.71 	 Y: -4.03 	 Z: 3.06 */s 	 SAIL OPEN 	 0.7 *C
X: -2.78 	 Y: -3.90 	 Z: 2.99 */s 	 SAIL OPEN 	 0.7 *C
X: -2.78 	 Y: -3.97 	 Z: 2.99 */s 	 SAIL OPEN 	 0.7 *C
X: -2.71 	 Y: -3.83 	 Z: 3.06 */s 	 SAIL OPEN 	 0.7 *C
X: -2.64 	 Y: -3.76 	 Z: 2.99 */s 	 SAIL OPEN 	 0.7 *C

